,imdb_id,imdb_n_comment,imdb_score,name,rating_people,score,上映日期,主演,制片国家/地区,又名,导演,片长,类型,编剧,语言,主演人数,r5,r4,r3,r2,r1
969, tt2992152,798,5.2,私人订制,163593,5.6, 2013-12-19(中国大陆), 葛优 / 白百何 / 李小璐 / 郑恺 / 范伟 / 宋丹丹 / 李成儒 / 苗圃 / 杜家毅 / 梁天 / 李咏 / 关晓彤 / 曹炳琨 / 成龙 / 王宝强, 中国大陆, 贵族 / Personal Tailor, 冯小刚, 118分钟, 喜剧, 王朔, 汉语普通话,15,0.049,0.16,0.435,0.25,0.106
970, tt2910520,320,6,分手合约,113581,5.7, 2013-04-12(中国大陆), 白百何 / 彭于晏 / 吴佩慈 / 蒋劲夫, 中国大陆 / 韩国, A Wedding Invitation / ????, 吴基焕, 103分钟, 爱情, 秦海燕 / 阿美, 汉语普通话,4,0.051,0.16,0.461,0.246,0.083
971, tt3175936,448,5.9,被偷走的那五年,94455,5.8, 2013-08-29(中国大陆) / 2013-09-12(香港) / 2013-09-13(台湾), 白百何 / 张孝全 / 范玮琪 / 安心亚 / 伍思凯 / 林暐恒 / 谢君豪 / 戴君竹, 中国大陆, 被偷走的5年 / 被偷走的时光 / 最后一次说爱你 / 倾城之泪2 / 悲伤成河 / The Stolen Years, 黄真真, 111分钟, 爱情, 黄真真 / 侯颖桁 / 郑善瑜, 汉语普通话,8,0.055,0.169,0.461,0.24,0.074
972,,,,龙斌大话电影,735,8.9,, 龙斌, 中国大陆, 龙叔说电影 / Long Bin Talk Show,,, 脱口秀,, 汉语普通话,1,0.609,0.27,0.091,0.019,0.012
973,,,,青年电影馆 第一季,126,8.3,, 周星驰 Stephen Chow / 周润发 Yun-Fat Chow / 李连杰 Jet Li, 中国大陆, 五星殿堂, 王先华,, 短片 / 脱口秀, 王先华, 汉语普通话 / 粤语,3,0.364,0.465,0.141,0.02,0.01
975,,,,一座城池,23149,5.3, 2013-09-18(中国大陆), 房祖名 / 王太利 / 黄瀞怡 / 谢芳 / 李长江 / 杨地, 中国大陆, The Ideal City, 孙渤涵, 98分钟, 剧情 / 喜剧, 孙渤涵, 汉语普通话,6,0.058,0.131,0.378,0.292,0.141
976,,,,电影公嗨课,303,8.3,, 云中 / 谋杀电视机, 中国大陆, 电影公high课, 云中 / 谋杀电视机,, 脱口秀, 谋杀电视机 / 云中, 汉语普通话,2,0.361,0.481,0.13,0.01,0.019
977, tt3086582,778,3.4,小时代2：青木时代,127371,5, 2013-08-08(中国大陆), 杨幂 / 柯震东 / 郭采洁 / 凤小岳 / 郭碧婷 / 谢依霖 / 陈学冬 / 王琳 / 李悦铭 / 商侃 / 姜潮 / 杜天皓 / 杨洋 / 丁巧唯, 中国大陆 / 台湾, 小时代2 / Tiny Times 2.0, 郭敬明, 116分钟, 剧情 / 喜剧 / 爱情, 郭敬明, 汉语普通话,14,0.057,0.113,0.347,0.233,0.25
978, tt4162910,221,4.4,青蛙王国,900,6.7, 2013-12-28(中国大陆), 石班瑜 / 姜瑰瑾 / 刘杰, 中国大陆, 青蛙王国之我嘞个去 / The Frog Kingdom, 尼尔森·申, 88分钟, 动画 / 冒险, 郑立国 / 彭飞, 汉语普通话,3,0.255,0.218,0.285,0.103,0.139
979, tt2322276,0,-1,太极3：巅峰在望,,,, 梁家辉 / 杨颖 / 彭于晏, 中国大陆 / 香港, 太极3 / 太极之巅峰在望 / Taichi 3, 冯德伦,, 动作,, 汉语普通话 / 粤语,3,0,0,0,0,0
