投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
乌鲁木齐,巴音郭楞蒙古自治州,0,10,,
合肥,淮北,0,9,116.694557639,33.7492103836
北京,大庆,1,9,124.317028033,46.527882805
上海,云浮,1,9,111.791609466,22.8645994249
南宁,梧州,0,9,110.97337166,23.2002931144
南宁,北海,0,9,109.335612571,21.6793992485
青岛,日照,0,9,119.134088275,35.5841759127
大连,营口,0,9,122.487313407,40.3597557385
哈尔滨,双鸭山,0,9,132.144828937,46.3072456498
乌鲁木齐,博尔塔拉蒙古自治州,0,8,,
南昌,景德镇,0,8,117.269337981,29.3071248951
昆明,德宏傣族景颇族自治州,0,8,,
太原,朔州,0,8,112.731072685,39.4515425822
北京,铜仁,1,8,108.544584764,27.9687206563
北京,铜仁,1,8,108.544584764,27.9687206563
广州,阳江,0,8,111.774204951,22.0383015818
厦门,龙岩,0,8,116.739194013,25.2920661556
鞍山,辽阳,0,7,123.411641921,41.1253950951
深圳,湛江,1,7,110.303801914,20.4640326399
长春,白城,0,7,123.010020734,45.3426110899
北京,白城,1,7,123.010020734,45.3426110899
深圳,铜陵,1,7,117.89438707,30.9448598202
呼和浩特,呼伦贝尔,0,7,121.178173784,49.6519523509
北京,呼伦贝尔,1,7,121.178173784,49.6519523509
北京,阿拉善盟,1,7,102.484793321,40.4997342418
哈尔滨,鹤岗,0,6,130.31505392,47.7601194496
哈尔滨,鸡西,0,6,132.302426461,45.5431717643
乌鲁木齐,和田地区,0,6,,
南宁,贺州,0,6,111.360036634,24.3588162268
昆明,保山,0,6,98.9725729865,24.9790540142
南宁,来宾,0,5,109.427327974,23.6420750123
兰州,金昌,0,5,102.050096504,38.4269271785
兰州,天水,0,5,105.740149962,34.6504716072
武汉,天水,0,5,105.740149962,34.6504716072
深圳,抚顺,1,5,124.653898593,41.8327974774
沈阳,抚顺,0,5,124.653898593,41.8327974774
喀什地区,克孜勒苏柯尔克孜自治州,0,5,,
西宁,海东地区,0,5,,
沈阳,阜新,0,5,121.959474454,42.2856981048
沈阳,朝阳,0,5,120.009996791,41.5103736995
沈阳,本溪,0,5,124.077613678,41.1907857988
沈阳,葫芦岛,0,5,120.192864003,40.6261741141
郑州,漯河,0,5,113.902628459,33.6568181728
酒泉,张掖,0,5,99.90171985,38.9235853398
郑州,濮阳,0,5,115.186179744,35.818149697
长沙,张家界,0,4,110.5299907,29.3920468287
深圳,张家界,1,4,110.5299907,29.3920468287
北京,黔东南苗族侗族自治州,1,4,,
北京,海南藏族自治州,1,4,,
上海,三沙,1,4,,
阿拉善盟,乌海,0,4,106.882873414,39.5669625568
北京,乌海,1,4,106.882873414,39.5669625568
呼和浩特,乌海,0,4,106.882873414,39.5669625568
贵阳,安顺,0,4,105.951365814,25.9956824501
长春,辽源,0,4,125.304836751,42.8097338625
北京,六盘水,1,4,104.651762927,25.8547514439
海南藏族自治州,临夏回族自治州,0,4,,
海西蒙古族藏族自治州,玉树藏族自治州,0,4,,
海西蒙古族藏族自治州,兴安盟,0,4,121.38567335,46.2157994401
太原,阳泉,0,4,113.501902518,38.0619533743
深圳,揭阳,1,4,116.116729307,23.3375364966
昆明,西双版纳傣族自治州,0,4,,
珠海,那曲地区,0,4,,
佛山,茂名,0,3,110.952666315,22.0152368131
宁波,茂名,0,3,110.952666315,22.0152368131
深圳,茂名,1,3,110.952666315,22.0152368131
广州,茂名,0,3,110.952666315,22.0152368131
上海,普洱,1,3,100.718373036,23.1859171903
兰州,武威,0,3,103.051345519,38.1690833868
兰州,甘南藏族自治州,0,3,,
兰州,铜川,0,3,109.175338575,35.2981214087
北京,庆阳,1,3,107.594395318,36.1647995305
兰州,庆阳,0,3,107.594395318,36.1647995305
长春,通化,0,3,125.948225432,41.9508001253
