source,target,weight
北京,南京,0.15765318779459192
上海,南京,0.16807243860084348
深圳,南京,0.057181840734309104
广州,南京,0.006077896303646738
天津,南京,0.0024807740014884646
杭州,南京,0.01662118580997271
苏州,南京,0.02158273381294964
宁波,南京,0.002976928801786157
拉萨,南京,0.005705780203423468
东莞,南京,0.0
成都,南京,0.0023567353014140413
无锡,南京,0.012900024807740015
重庆,南京,0.0009923096005953857
嘉兴,南京,0.0023567353014140413
武汉,南京,0.001116348300669809
珠海,南京,0.00012403870007442322
济南,南京,0.00012403870007442322
西安,南京,0.00037211610022326965
长沙,南京,0.00012403870007442322
合肥,南京,0.0004961548002976929
大连,南京,0.0006201935003721161
南通,南京,0.004589431902753659
常州,南京,0.005705780203423468
湖州,南京,0.0
新余,南京,0.00012403870007442322
金华,南京,0.00012403870007442322
镇江,南京,0.005705780203423468
泰州,南京,0.0004961548002976929
盐城,南京,0.001116348300669809
扬州,南京,0.0032250062019350038
马鞍山,南京,0.0013644257008186553
徐州,南京,0.0009923096005953857
淮安,南京,0.0018605805011163482
营口,南京,0.00024807740014884643
宿迁,南京,0.0009923096005953857
北京,广州,0.15604068469362442
上海,广州,0.09960307615976184
深圳,广州,0.26184569585710743
天津,广州,0.006946167204167701
杭州,广州,0.016373108409823867
苏州,广州,0.0016125031009675019
宁波,广州,0.0037211610022326964
拉萨,广州,0.004093277102455967
南京,广州,0.0007442322004465393
东莞,广州,0.018977921111386752
成都,广州,0.005953857603572314
福州,广州,0.00012403870007442322
重庆,广州,0.0012403870007442323
嘉兴,广州,0.0007442322004465393
厦门,广州,0.002852890101711734
武汉,广州,0.0021086579012651947
郑州,广州,0.00024807740014884643
珠海,广州,0.04341354502604813
青岛,广州,0.00024807740014884643
西安,广州,0.00012403870007442322
长沙,广州,0.002852890101711734
大连,广州,0.00024807740014884643
佛山,广州,0.032126023319275616
乌鲁木齐,广州,0.00024807740014884643
南昌,广州,0.0009923096005953857
新余,广州,0.004713470602828083
泉州,广州,0.00012403870007442322
海口,广州,0.00012403870007442322
南宁,广州,0.0004961548002976929
昆明,广州,0.0
中山,广州,0.00657405110394443
汕头,广州,0.0017365418010419251
九江,广州,0.0009923096005953857
抚州,广州,0.0
泰州,广州,0.0
宜春,广州,0.0018605805011163482
鹰潭,广州,0.00731828330439097
吉安,广州,0.00024807740014884643
揭阳,广州,0.00012403870007442322
江门,广州,0.0009923096005953857
清远,广州,0.0008682709005209626
韶关,广州,0.0006201935003721161
潮州,广州,0.0004961548002976929
北京,青岛,0.1426445050855867
上海,青岛,0.06660878193996526
深圳,青岛,0.028280823616968494
广州,青岛,0.003969238402381543
天津,青岛,0.005829818903497892
杭州,青岛,0.004837509302902505
苏州,青岛,0.0016125031009675019
宁波,青岛,0.0019846192011907715
拉萨,青岛,0.0024807740014884646
南京,青岛,0.0014884644008930786
东莞,青岛,0.00012403870007442322
成都,青岛,0.002976928801786157
重庆,青岛,0.0021086579012651947
嘉兴,青岛,0.0013644257008186553
武汉,青岛,0.0
郑州,青岛,0.0007442322004465393
济南,青岛,0.029893326717935997
西安,青岛,0.00012403870007442322
合肥,青岛,0.0008682709005209626
大连,青岛,0.0006201935003721161
南通,青岛,0.0007442322004465393
常州,青岛,0.00012403870007442322
南昌,青岛,0.00024807740014884643
南宁,青岛,0.00024807740014884643
长春,青岛,0.002852890101711734
潍坊,青岛,0.01079136690647482
烟台,青岛,0.0053336641032001985
呼和浩特,青岛,0.00012403870007442322
临沂,青岛,0.004713470602828083
柳州,青岛,0.0
淄博,青岛,0.002852890101711734
邯郸,青岛,0.0
六安,青岛,0.00024807740014884643
东营,青岛,0.0024807740014884646
德州,青岛,0.00012403870007442322
日照,青岛,0.00012403870007442322
江门,青岛,0.00024807740014884643
滨州,青岛,0.0013644257008186553
威海,青岛,0.00037211610022326965
莱芜,青岛,0.00012403870007442322
北京,郑州,0.14190027288514018
上海,郑州,0.04924336392954602
深圳,郑州,0.05817415033490449
广州,郑州,0.0053336641032001985
天津,郑州,0.0019846192011907715
杭州,郑州,0.004589431902753659
苏州,郑州,0.0006201935003721161
宁波,郑州,0.0008682709005209626
拉萨,郑州,0.00012403870007442322
南京,郑州,0.00012403870007442322
东莞,郑州,0.00024807740014884643
成都,郑州,0.0006201935003721161
福州,郑州,0.0017365418010419251
嘉兴,郑州,0.0006201935003721161
武汉,郑州,0.0035971223021582736
青岛,郑州,0.00012403870007442322
西安,郑州,0.0013644257008186553
长沙,郑州,0.0
佛山,郑州,0.0007442322004465393
保定,郑州,0.00012403870007442322
开封,郑州,0.0034730836020838503
洛阳,郑州,0.003349044902009427
咸宁,郑州,0.00012403870007442322
新乡,郑州,0.0014884644008930786
安阳,郑州,0.00024807740014884643
商丘,郑州,0.001116348300669809
许昌,郑州,0.001116348300669809
南阳,郑州,0.00024807740014884643
驻马店,郑州,0.0
焦作,郑州,0.0
北京,石家庄,0.1185809972711486
上海,石家庄,0.013024063507814439
深圳,石家庄,0.010667328206400397
天津,石家庄,0.002232696601339618
杭州,石家庄,0.0007442322004465393
苏州,石家庄,0.0
南京,石家庄,0.0006201935003721161
成都,石家庄,0.004341354502604812
无锡,石家庄,0.0
青岛,石家庄,0.00024807740014884643
大连,石家庄,0.0
南通,石家庄,0.0
温州,石家庄,0.00012403870007442322
廊坊,石家庄,0.0004961548002976929
唐山,石家庄,0.00012403870007442322
保定,石家庄,0.00012403870007442322
呼和浩特,石家庄,0.0016125031009675019
邯郸,石家庄,0.0004961548002976929
东营,石家庄,0.00012403870007442322
张家口,石家庄,0.0
沧州,石家庄,0.0008682709005209626
邢台,石家庄,0.0012403870007442323
北京,西安,0.11275117836765071
上海,西安,0.04390969982634582
深圳,西安,0.05507318283304391
广州,西安,0.004341354502604812
杭州,西安,0.005705780203423468
苏州,西安,0.004341354502604812
宁波,西安,0.00012403870007442322
拉萨,西安,0.0006201935003721161
成都,西安,0.004961548002976929
福州,西安,0.0
无锡,西安,0.0
重庆,西安,0.0017365418010419251
嘉兴,西安,0.00012403870007442322
武汉,西安,0.0027288514016373107
郑州,西安,0.001116348300669809
石家庄,西安,0.0006201935003721161
珠海,西安,0.0009923096005953857
济南,西安,0.0
青岛,西安,0.0009923096005953857
常州,西安,0.00012403870007442322
兰州,西安,0.0017365418010419251
渭南,西安,0.002852890101711734
咸阳,西安,0.0018605805011163482
秦皇岛,西安,0.0004961548002976929
宝鸡,西安,0.0009923096005953857
延安,西安,0.0008682709005209626
运城,西安,0.0004961548002976929
安康,西安,0.0
北京,济南,0.10766559166459935
上海,济南,0.03671545522202927
深圳,济南,0.020962540312577525
广州,济南,0.0013644257008186553
天津,济南,0.0037211610022326964
杭州,济南,0.0053336641032001985
宁波,济南,0.0006201935003721161
南京,济南,0.0014884644008930786
成都,济南,0.0006201935003721161
重庆,济南,0.0
嘉兴,济南,0.00024807740014884643
石家庄,济南,0.0006201935003721161
青岛,济南,0.01699330191019598
合肥,济南,0.0
大连,济南,0.00024807740014884643
沈阳,济南,0.00012403870007442322
金华,济南,0.00037211610022326965
唐山,济南,0.00012403870007442322
潍坊,济南,0.007938476804763086
烟台,济南,0.004837509302902505
临沂,济南,0.0014884644008930786
淄博,济南,0.0016125031009675019
德州,济南,0.0023567353014140413
聊城,济南,0.0014884644008930786
日照,济南,0.0
秦皇岛,济南,0.00012403870007442322
济宁,济南,0.0016125031009675019
泰安,济南,0.0013644257008186553
滨州,济南,0.00037211610022326965
威海,济南,0.0006201935003721161
菏泽,济南,0.00024807740014884643
北京,沈阳,0.10605308856363185
上海,沈阳,0.032622178119573304
深圳,沈阳,0.018977921111386752
广州,沈阳,0.0032250062019350038
天津,沈阳,0.002232696601339618
