投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
上海,宁波,2499,121.404084553,31.0844617511,121.462283516,29.7195882339
深圳,宁波,933,113.981097454,22.6612174267,121.462283516,29.7195882339
广州,宁波,45,113.535309762,23.3572458759,121.462283516,29.7195882339
天津,宁波,229,117.332394543,39.3085542563,121.462283516,29.7195882339
杭州,宁波,1499,119.484701009,29.9049798065,121.462283516,29.7195882339
苏州,宁波,83,120.64180324,31.3759706021,121.462283516,29.7195882339
拉萨,宁波,178,91.1028799309,30.0334521208,121.462283516,29.7195882339
南京,宁波,53,118.842463658,31.9287592963,121.462283516,29.7195882339
东莞,宁波,4,113.877717876,22.9852478082,121.462283516,29.7195882339
成都,宁波,52,103.501067544,30.5086877776,121.462283516,29.7195882339
福州,宁波,52,119.156889973,26.0641963059,121.462283516,29.7195882339
无锡,宁波,30,120.351629529,31.6615440474,121.462283516,29.7195882339
重庆,宁波,18,107.864385258,30.0553736852,121.462283516,29.7195882339
嘉兴,宁波,60,120.753919978,30.654868568,121.462283516,29.7195882339
厦门,宁波,22,118.110687591,24.6830448658,121.462283516,29.7195882339
武汉,宁波,44,114.338092289,30.6256542221,121.462283516,29.7195882339
郑州,宁波,22,113.471850802,34.6263627848,121.462283516,29.7195882339
石家庄,宁波,17,114.44284612,38.1289585008,121.462283516,29.7195882339
珠海,宁波,49,113.251442783,22.1619886251,121.462283516,29.7195882339
济南,宁波,27,117.08325858,36.7325316169,121.462283516,29.7195882339
青岛,宁波,18,120.143935648,36.456032729,121.462283516,29.7195882339
西安,宁波,27,108.789503511,34.1107819802,121.462283516,29.7195882339
长沙,宁波,4,113.152959363,28.2295131059,121.462283516,29.7195882339
合肥,宁波,21,117.286266302,31.9771580754,121.462283516,29.7195882339
大连,宁波,15,122.219575666,39.6124317573,121.462283516,29.7195882339
南通,宁波,6,120.996756876,32.1893721211,121.462283516,29.7195882339
绍兴,宁波,55,120.628874142,29.7126723592,121.462283516,29.7195882339
温州,宁波,15,120.010122334,27.6625993395,121.462283516,29.7195882339
佛山,宁波,14,112.94508169,23.0127749858,121.462283516,29.7195882339
银川,宁波,7,106.341244948,38.2192835973,121.462283516,29.7195882339
乌鲁木齐,宁波,10,87.8094631006,43.5313046469,121.462283516,29.7195882339
湖州,宁波,23,119.871227322,30.74619674,121.462283516,29.7195882339
南昌,宁波,19,116.024443256,28.6633621609,121.462283516,29.7195882339
哈尔滨,宁波,13,127.962992428,45.6369913133,121.462283516,29.7195882339
新余,宁波,6,114.851202951,27.8472307759,121.462283516,29.7195882339
沈阳,宁波,9,123.136692183,42.093659482,121.462283516,29.7195882339
海口,宁波,8,110.425851879,19.8310955934,121.462283516,29.7195882339
太原,宁波,25,112.314062259,37.9595409573,121.462283516,29.7195882339
金华,宁波,17,119.954268808,29.1164535388,121.462283516,29.7195882339
中山,宁波,8,113.389491138,22.5221140275,121.462283516,29.7195882339
汕头,宁波,4,116.555530272,23.330681385,121.462283516,29.7195882339
台州,宁波,18,121.089649417,28.7920082915,121.462283516,29.7195882339
舟山,宁波,12,122.13917249,30.0553941995,121.462283516,29.7195882339
九江,宁波,5,115.437787326,29.3279801382,121.462283516,29.7195882339
烟台,宁波,9,120.805459739,37.2364773878,121.462283516,29.7195882339
贵阳,宁波,7,106.707306335,26.8429934259,121.462283516,29.7195882339
宜春,宁波,5,115.061146398,28.5700976185,121.462283516,29.7195882339
扬州,宁波,3,119.471409838,32.7375896346,121.462283516,29.7195882339
